Unnamed: 0,PIDM,term_code,gid,admit_term,degree.x,major_code,college.x,major.x,stu_type,stu_level.x,high_school_grad_year,high_school_grad_month,hs_gpa,sat_total,sat_new_readwrit,sat_new_math,act_composite,act_eng,act_math,gid_tests,test_date,activity_date,test_code,test_score,gid_hsmath,hsmath_course,hsmath_grade,gid_courses,term,student_campus,event,campus_code,course_number,section_number,subj_code,section_type,credit_levl,course_credits,reg_status,grade,grade_category,course_number_updated,course_level,PIDM_course_number_term,ERM_SCORE
29,149852,202070,-110755,202070.0,Associate of Arts,AA,Gallatin College,Associate of Arts,T,UG,,,1.72,,,,,,,-110755,2022-01-11 01:33:57,2022-01-11 01:33:57,ZCMP,100.032,,,,-110755,202270,MGG,202270EOT,ZGC,090,922,M,L,UG,4,RE,B*,Successful,Combo2,100,149852_090_202270,10.0
35,210982,202030,-171885,202030.0,Associate of Science,AS,Gallatin College,Associate of Science,N,UG,1996.0,2.0,2.5,,,,,,,-171885,2020-05-28 10:31:32,2020-05-28 10:31:32,ZCMP,100.016,,,,-171885,202170,MGG,202170EOT,Z,216Q,2,STAT,L,UG,3,RW,B,Successful,216Q,300,210982_216Q_202170,
39,324739,202130,-1053980,202130.0,Associate of Arts,AA,Gallatin College,Associate of Arts,T,UG,,,,,,,,,,-1053980,2021-11-23 01:36:50,2021-11-23 01:36:50,ZCMP,300.032,,,,-1053980,202270,MGG,202270EOT,Z,105Q,2,M,L,UG,3,RW,A,Successful,105Q,290,324739_105Q_202270,30.0
43,372115,202170,-1097291,202170.0,Bachelor of Science,FNSC,College of Education/HHD,Food and Nutrition,T,UG,,,,,,,,,,-1097291,2021-07-19 01:39:45,2021-07-19 01:39:45,ZCMP,400.032,,,,-1097291,202170,MZZ,202170EOT,Z,161Q,7,M,L,UG,4,RW,A-,Successful,161Q,400,372115_161Q_202170,40.0
46,376132,202170,-1100963,202170.0,Bachelor of Science,PBAC,College of Business,Pre-Business,T,UG,,,,,,,,,,-1100963,2021-08-24 01:32:00,2021-08-24 01:32:00,ZCMP,100.032,,,,-1100963,202230,MZZ,202230EOT,ZGC,090,921,M,L,UG,4,RW,B+*,Successful,Combo2,100,376132_090_202230,10.0
55,400959,202170,-1124526,202170.0,Bachelor of Science,ESGL,College of Letters & Science,Earth Sciences,T,UG,,,,,,,17.0,17.0,18.0,-1124526,2021-06-04 01:33:55,2021-06-04 01:33:55,ZCMP,400.032,,,,-1124526,202170,MZZ,202170EOT,Z,151Q,5,M,L,UG,4,RW,A-,Successful,151Q,400,400959_151Q_202170,40.0
60,452703,202230,-1173217,202230.0,Bachelor of Science,PNUR,College of Nursing,Pre-Nursing,N,UG,2004.0,6.0,3.0,,,,,,,-1173217,2021-11-28 01:33:25,2021-11-28 01:33:25,ZCMP,300.032,-1173217.0,HSM70,,-1173217,202230,MZZ,202230EOT,Z,121Q,12,M,L,UG,3,RW,B+,Successful,121Q,300,452703_121Q_202230,30.0
61,487135,202050,-1206316,202050.0,Bachelor of Science,ELED,College of Education/HHD,Elementary Education K-8,T,UG,,,,,,,,,,-1206316,2020-05-28 10:31:32,2020-05-28 10:31:32,ZCMP,0.0,,,,-1206316,202330,MZZ,202330EOT,ZGC,090,921,M,L,UG,4,RE,D*,Unsuccessful,Combo2,100,487135_090_202330,
65,641193,201970,-1380386,201970.0,Bachelor of Science,BLFM,College of Letters & Science,Biological Sciences,N,UG,2003.0,5.0,3.0,,,,,,,-1380386,2020-05-28 10:31:33,2020-05-28 10:31:33,ZCMP,150.016,,,,-1380386,202170,MZZ,202170EOT,Z,161Q,2,M,L,UG,4,RW,C-,Unsuccessful,161Q,400,641193_161Q_202170,
67,664074,201670,-1405544,201670.0,Associate of Science,AS,Gallatin College,Associate of Science,T,UG,,,,,,,,,,-1405544,2022-11-19 01:32:07,2022-11-19 01:32:07,ZCMP,100.016,,,,-1405544,202330,MGG,202330EOT,ZGC,105Q,902,M,L,UG,3,W,W,Unsuccessful,Combo1,150,664074_105Q_202330,
73,702012,202270,-1444958,202270.0,Associate of Science,AS,Gallatin College,Associate of Science,N,UG,2004.0,5.0,3.11,,,,,,,-1444958,2023-01-08 01:31:34,2023-01-08 01:31:34,ZCMP,100.032,,,,-1444958,202330,MGG,202330EOT,ZGC,090,923,M,L,UG,4,RE,A*,Successful,Combo2,100,702012_090_202330,10.0
75,723943,201970,-1469827,201970.0,Non Degree,NDGR,The Graduate School/Non-Degree,Non-Degree Graduate,X,GR,2005.0,6.0,2.19,,,,25.0,22.0,23.0,-1469827,2021-04-01 16:13:01,2021-04-01 16:13:01,ZCMP,300.001,,,,-1469827,202230,MZZ,202230EOT,Z,216Q,6,STAT,L,UG,3,RW,A,Successful,216Q,300,723943_216Q_202230,
76,730391,201870,-1477696,201870.0,Bachelor of Science,HEHE,College of Education/HHD,Health and Human Performance,T,UG,,,,,,,,,,-1477696,2021-11-23 01:36:50,2021-11-23 01:36:50,ZCMP,150.016,,,,-1477696,202170,MZZ,202170EOT,Z,216Q,16,STAT,L,UG,3,RW,C+,Unsuccessful,216Q,300,730391_216Q_202170,
80,775992,202170,-1522691,202170.0,Bachelor of Science,CSPR,College of Engineering,Computer Science,T,UG,,,,,,,22.0,21.0,26.0,-1522691,2021-07-21 01:33:44,2021-07-21 01:33:44,ZCMP,400.001,,,,-1522691,202270,MZZ,202270EOT,Z,171Q,3,M,L,UG,4,RE,B+,Successful,171Q,500,775992_171Q_202270,
82,819334,202270,-1564558,202270.0,Certificate of Tech Studies,ITCS,Gallatin College,Cyber Security/Information,N,UG,2005.0,5.0,1.65,,,,,,,-1564558,2022-08-20 01:35:16,2022-08-20 01:35:16,ZCMP,100.032,,,,-1564558,202270,MGG,202270EOT,ZGC,088,901,M,L,UG,4,RE,C+*,Unsuccessful,088,100,819334_088_202270,10.0
86,821237,202170,-1566399,202170.0,Bachelor of Science,FNDS,College of Education/HHD,Food and Nutrition,N,UG,2005.0,6.0,3.51,,,,,,,-1566399,2021-07-23 01:35:20,2021-07-23 01:35:20,ZCMP,150.032,-1566399.0,HSM50,,-1566399,202230,MZZ,202230EOT,ZGC,090,904,M,L,UG,4,RW,A*,Successful,Combo2,100,821237_090_202230,15.0
87,830635,202270,-1575709,202270.0,Bachelor of Science,BUMG,College of Business,Business,T,UG,,,,,,,,,,-1575709,2022-05-11 01:33:11,2022-05-11 01:33:11,ZCMP,100.032,,,,-1575709,202270,MZZ,202270EOT,ZGC,090,921,M,L,UG,4,RE,D*,Unsuccessful,Combo2,100,830635_090_202270,10.0
109,881347,202270,-1625306,202270.0,Associate of Science,AS,Gallatin College,Associate of Science,N,UG,1999.0,5.0,3.0,,,,,,,-1625306,2022-12-14 01:31:44,2022-12-14 01:31:44,ZCMP,100.032,-1625306.0,HSM50,D,-1625306,202330,MGG,202330EOT,ZGC,090,923,M,L,UG,4,RE,A*,Successful,Combo2,100,881347_090_202330,10.0
125,883336,202170,-1627225,202170.0,Bachelor of Science,PMBS,College of Letters & Science,Pre-Medicine,T,UG,,,,,,,,,,-1627225,2021-05-13 01:32:16,2021-05-13 01:32:16,ZCMP,250.006,,,,-1627225,202170,MZZ,202170EOT,ZGC,121Q,914,M,L,UG,3,RW,A,Successful,Combo3,250,883336_121Q_202170,
