course_level,ERM_SCORE,sat_new_math,act_math,hs_gpa,Compliance,course_number_updated
100,10.0,,,1.72,Compliant,Combo2
300,,,,2.5,Uncompliant,216Q
290,30.0,,,,Compliant,105Q
400,40.0,,,,Compliant,161Q
100,10.0,,,,Compliant,Combo2
400,40.0,,18.0,,Compliant,151Q
300,30.0,,,3.0,Compliant,121Q
100,,,,,Uncompliant,Combo2
400,,,,3.0,Compliant,161Q
150,,,,,Uncompliant,Combo1
100,10.0,,,3.11,Compliant,Combo2
300,,,23.0,2.19,Compliant,216Q
300,,,,,Uncompliant,216Q
500,,,26.0,,Uncompliant,171Q
100,10.0,,,1.65,Compliant,088
100,15.0,,,3.51,Compliant,Combo2
100,10.0,,,,Compliant,Combo2
100,10.0,,,3.0,Compliant,Combo2
250,,,,,Uncompliant,Combo3
300,,,,,Uncompliant,121Q
250,30.0,,,,Compliant,Combo3
100,,,20.0,2.88,Uncompliant,Combo2
100,,,20.0,,Uncompliant,Combo2
500,30.0,,,,Uncompliant,171Q
400,,,,,Uncompliant,161Q
400,,,,3.6,Compliant,161Q
300,,,17.0,,Uncompliant,216Q
400,,,26.0,,Compliant,161Q
300,,,,,Uncompliant,216Q
400,,,24.0,3.13,Compliant,161Q
500,,,21.0,2.97,Uncompliant,171Q
290,,,,2.5,Uncompliant,105Q
300,40.0,,,2.32,Compliant,216Q
500,,,,,Uncompliant,171Q
100,15.0,,,2.5,Compliant,Combo2
300,30.0,,,2.5,Compliant,121Q
300,,,23.0,2.9,Compliant,121Q
300,25.0,,,,Uncompliant,121Q
400,40.0,,,,Compliant,151Q
400,,,,3.09,Compliant,151Q
300,,620.0,,3.41,Compliant,216Q
290,,,27.0,3.5,Compliant,105Q
300,40.0,,,,Compliant,216Q
400,,,,3.14,Compliant,161Q
300,,,,3.2,Compliant,216Q
400,,,,1.85,Uncompliant,161Q
300,,,,1.85,Uncompliant,216Q
300,,,23.0,,Compliant,121Q
300,30.0,,24.0,,Compliant,216Q
300,30.0,,24.0,,Compliant,121Q
100,,,,,Uncompliant,Combo2
400,40.0,,,2.72,Compliant,161Q
400,,,,,Uncompliant,161Q
400,,,,,Uncompliant,161Q
400,,,,,Uncompliant,151Q
300,,,,2.83,Uncompliant,216Q
250,,,16.0,,Uncompliant,Combo3
300,,,,3.65,Compliant,216Q
500,,,26.0,3.52,Compliant,171Q
500,,,,2.37,Uncompliant,171Q
400,,,,1.9,Uncompliant,161Q
400,,,25.0,3.51,Compliant,161Q
300,,,21.0,2.4,Uncompliant,121Q
300,40.0,,,,Compliant,121Q
250,,,,2.46,Uncompliant,Combo3
290,,,,2.7,Uncompliant,105Q
400,,,,3.02,Compliant,151Q
150,,,16.0,2.41,Uncompliant,Combo1
300,,,24.0,3.429,Compliant,121Q
100,15.0,,,,Compliant,Combo2
500,,,19.0,2.2,Uncompliant,171Q
250,,,,2.77,Uncompliant,Combo3
290,30.0,,,3.47,Compliant,105Q
400,,,14.0,,Uncompliant,161Q
300,,,,3.65,Compliant,216Q
100,10.0,,,2.44,Compliant,Combo2
300,,,20.0,2.84,Uncompliant,216Q
300,40.0,,29.0,,Compliant,216Q
290,,,22.0,2.75,Compliant,105Q
100,10.0,,16.0,,Compliant,Combo2
300,,,,,Uncompliant,216Q
300,,,30.0,,Uncompliant,132
250,,,,,Uncompliant,Combo3
290,,,,2.5,Uncompliant,105Q
300,,,33.0,3.99,Compliant,216Q
400,,,25.0,3.98,Compliant,161Q
500,,,22.0,3.64,Compliant,171Q
300,,,17.0,3.2,Compliant,121Q
300,30.0,,17.0,2.71,Compliant,121Q
300,,,21.0,,Uncompliant,121Q
400,,,,,Uncompliant,161Q
100,10.0,,,2.94,Compliant,Combo2
300,,,25.0,2.85,Uncompliant,216Q
300,40.0,,23.0,,Compliant,216Q
290,,,,,Uncompliant,105Q
400,,,,,Uncompliant,161Q
400,,,19.0,3.18,Compliant,161Q
300,,,,,Uncompliant,216Q
500,40.0,,24.0,,Uncompliant,171Q
300,40.0,,,,Compliant,216Q
100,,,,2.34,Uncompliant,088
400,,,30.0,3.55,Compliant,151Q
290,,,23.0,3.89,Compliant,105Q
400,,,23.0,3.0,Compliant,151Q
100,15.0,,19.0,2.18,Compliant,Combo2
100,,,20.0,,Uncompliant,Combo2
500,,,,2.84,Uncompliant,171Q
500,,650.0,27.0,4.0,Compliant,171Q
