PIDM,ERM_INITIAL_SCORE,ERM_CURRENT_SCORE,ERM_SCORE
4534,56,64,30
5265,51,100,30
76299,56,null,30
84142,34,null,10
149852,39,39,10
268066,54,54,25
290599,74,74,40
324739,58,63,30
372115,70,70,40
376132,44,44,10
400959,55,100,40
452703,57,76,30
528902,53,67,25
702012,34,34,10
776809,61,null,30
786878,39,39,10
819334,32,32,10
821237,46,64,15
822785,46,60,15
830635,39,54,10
853963,45,57,15
881347,43,43,10
923296,48,78,30
932078,57,null,30
940579,47,55,15
967102,45,53,15
984014,62,62,30
1003874,59,59,30
1015463,53,53,25
1016374,52,70,25
1046215,43,43,10
1063567,68,75,40
1090875,44,70,15
1099994,51,51,15
1100244,58,58,30
1107806,44,82,25
1119136,73,73,40
1153831,68,73,40
1167412,45,59,15
1201804,58,58,30
1208826,47,47,15
1222971,46,80,30
1235537,70,72,40
1266482,54,54,25
1268231,42,53,10
1307332,75,100,40
1321064,71,98,40
1327873,43,72,15
1334792,45,45,15
1345991,57,57,30
1348895,36,36,10
1357808,75,75,40
1358571,41,41,10
1360448,70,70,40
1361427,71,100,40
1361652,56,69,30
1363461,58,65,30
1397388,45,100,30
1398869,43,43,10
1407106,70,70,40
1409934,71,71,40
1414625,56,56,30
1416229,53,100,40
1417600,65,99,40
1436732,72,72,40
1436966,59,59,30
1438604,48,48,15
1440480,39,66,15
1448188,32,32,10
1456176,45,45,15
1459399,38,38,10
1462342,63,63,30
1467671,41,41,10
1468592,70,70,40
1470490,59,65,30
1479805,51,78,30
1483964,70,70,40
1488122,63,100,40
1489787,52,60,25
1510164,32,32,10
1511642,39,39,10
1522850,45,45,15
1522886,63,63,30
1523340,55,55,30
1524254,73,73,40
1524654,30,94,25
1524782,74,74,40
1530140,56,56,30
1532903,43,54,10
1555217,45,45,15
1562861,60,60,30
1573539,54,null,25
1575163,46,50,15
1580255,43,43,10
1580368,57,57,30
1582714,26,null,10
1589724,38,65,15
1594617,60,89,30
1603182,74,74,40
1603623,48,48,15
1605619,44,44,10
1606316,35,35,10
1612312,73,73,40
1616969,68,68,40
1628718,60,60,30
1628969,60,60,30
1632257,28,31,10
1637559,48,100,30
1638739,70,70,40
1638905,37,64,10
1641600,61,61,30
1646443,68,68,40
1647773,48,57,15
1659905,46,null,15
1664539,30,30,10
1676442,52,52,25
1678572,56,56,30
1693956,55,55,30
1701092,39,null,10
1702848,66,null,40
1709779,75,75,40
1710159,46,46,15
1713312,54,54,25
1716489,55,55,30
1716889,58,null,30
1718859,72,null,40
1718958,39,39,10
1719438,65,65,40
1721991,49,49,15
1722818,69,75,40
1723433,75,75,40
1723579,55,55,30
1725804,48,48,15
1734918,49,49,15
1735843,64,98,40
1736002,59,null,30
1736103,59,59,30
1739348,53,63,25
1742536,57,100,40
1744746,59,66,30
1750590,46,46,15
1750715,66,74,40
1756266,66,66,40
1761628,66,100,40
1761872,62,62,30
1762273,39,null,10
1763315,62,62,30
1764135,47,72,15
1764535,61,74,30
1769374,37,37,10
1773741,57,57,30
1775178,58,58,30
1782500,51,100,30
1784078,37,37,10
1785214,66,66,40
1785270,39,39,10
1785438,31,31,10
1786386,59,59,30
1799306,65,65,40
1801586,53,85,30
1802591,68,68,40
